,joy,sadness,disgust,contempt,anger,fear,surprise,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,lidTighten,jawDrop,dimpler,eyeWiden,cheekRaise,lipStretch,pain
222,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,95,0,0,21,37,0,7,0
223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,94,0,0,0,0,0,0,0
224,0,72,10,0,0,0,0,-37,100,0,99,21,43,1,0,0,7,0,0,0,0,0,0,97,16,2,1,0,1,2,1
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,1
226,0,17,1,93,7,0,0,-21,65,0,0,7,97,0,0,2,1,0,1,0,12,66,0,95,2,5,0,0,0,0,0
227,0,100,0,2,0,0,0,-100,100,0,95,0,100,0,0,100,0,0,0,0,0,4,0,98,0,0,1,0,0,0,1
228,0,0,0,5,0,0,0,0,2,3,0,3,19,0,0,0,0,0,27,0,0,30,0,99,2,0,64,0,24,9,1
229,99,0,21,0,0,0,0,32,100,100,1,0,36,96,10,0,0,0,0,0,85,0,0,99,17,1,1,0,1,61,1
230,0,3,95,0,14,0,0,-57,93,14,4,0,92,93,3,0,0,0,0,0,43,1,0,97,21,0,0,0,0,37,1
231,0,4,100,0,34,0,0,-38,100,54,69,0,100,100,73,0,0,0,0,7,100,1,0,98,100,23,0,0,0,0,1
232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0
233,0,0,100,0,0,0,4,-93,99,0,23,0,1,74,100,0,0,0,0,0,100,0,0,93,0,3,0,0,0,0,1
234,0,100,1,1,1,0,0,-100,100,0,81,0,100,13,0,100,1,0,0,0,0,0,0,91,12,0,0,0,0,0,1
235,100,0,0,0,0,0,0,18,100,99,1,1,0,0,0,0,96,0,61,100,0,0,0,98,0,0,23,0,0,3,0
236,0,0,0,0,0,0,22,-14,97,9,0,99,0,2,0,48,0,0,0,0,1,4,0,93,0,1,0,0,0,0,0
237,0,28,98,6,76,0,0,-66,100,3,5,0,100,70,0,0,27,2,0,1,7,17,0,99,77,0,0,0,6,2,1
238,0,1,1,0,0,0,2,0,63,27,82,5,0,7,0,0,1,2,5,0,6,0,0,99,0,4,0,0,0,0,1
239,100,0,0,0,0,0,1,89,100,99,1,0,4,2,1,0,0,0,23,0,61,0,0,96,0,0,1,0,2,53,1
240,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0
241,0,0,0,0,0,0,29,-59,100,0,1,100,0,0,0,82,19,0,0,0,1,0,0,74,0,0,0,31,0,0,0
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1
243,38,0,0,0,0,0,0,0,100,94,1,0,84,5,0,90,94,13,9,0,33,0,3,72,59,3,0,0,0,0,1
244,100,0,0,0,0,0,1,96,100,100,3,2,0,0,4,0,2,10,0,0,53,0,0,95,0,2,0,0,2,0,0
245,0,99,0,3,1,0,0,-88,98,0,66,0,100,0,0,56,0,0,0,0,0,7,0,98,6,0,0,0,0,0,1
246,0,0,0,0,0,7,86,-6,81,6,78,99,0,0,0,0,0,0,5,0,21,0,0,95,0,2,0,100,2,0,1
247,96,0,0,0,0,0,6,64,100,97,7,62,0,0,0,0,2,0,3,92,8,1,0,94,0,1,19,1,0,1,0
248,0,28,1,1,19,0,0,-20,56,0,0,0,100,0,0,0,0,0,0,0,4,1,0,98,19,1,0,0,0,0,1
249,0,0,100,0,0,0,38,-86,100,0,69,13,11,96,100,0,1,0,0,0,97,0,0,98,1,98,0,1,30,0,1
250,0,100,1,1,0,1,0,-54,51,0,99,0,100,0,0,0,0,0,0,0,0,0,0,94,0,2,0,0,0,0,1
